
 displacements (vx,vy,vz) for set TIPMARKER and time  0.1000000E+00

         2  3.662233E-07 -3.380645E-05 -7.285322E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2000000E+00

         2  1.698629E-06 -1.650015E-04 -3.945929E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3000000E+00

         2  3.919517E-06 -4.517894E-04 -1.101161E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3250000E+00

         2  4.526467E-06 -5.522204E-04 -1.336000E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3500000E+00

         2  5.181796E-06 -6.647462E-04 -1.582712E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3750000E+00

         2  5.886647E-06 -7.898784E-04 -1.859686E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4125000E+00

         2  7.040679E-06 -1.001681E-03 -2.364001E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4500000E+00

         2  8.291079E-06 -1.241854E-03 -3.030162E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4875000E+00

         2  9.624981E-06 -1.508717E-03 -3.989192E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5437500E+00

         2  1.179526E-05 -1.959906E-03 -5.509763E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6000000E+00

         2  1.408673E-05 -2.483085E-03 -6.355166E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6562500E+00

         2  1.647734E-05 -3.096922E-03 -7.161180E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7125000E+00

         2  1.893807E-05 -3.819930E-03 -8.976290E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7687500E+00

         2  2.143131E-05 -4.668535E-03 -1.140452E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8250000E+00

         2  2.391305E-05 -5.655358E-03 -1.403407E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8390625E+00

         2  2.453252E-05 -5.924522E-03 -1.474954E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8531250E+00

         2  2.514849E-05 -6.202921E-03 -1.550796E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8583984E+00

         2  2.537954E-05 -6.309719E-03 -1.580572E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8636719E+00

         2  2.561027E-05 -6.417843E-03 -1.611233E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8715820E+00

         2  2.595462E-05 -6.582551E-03 -1.658529E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8834473E+00

         2  2.646941E-05 -6.835255E-03 -1.731457E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8953125E+00

         2  2.698051E-05 -7.094628E-03 -1.808193E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8982788E+00

         2  2.710821E-05 -7.160494E-03 -1.828350E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9012451E+00

         2  2.723620E-05 -7.226753E-03 -1.849076E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9056946E+00

         2  2.742698E-05 -7.326877E-03 -1.881183E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9073631E+00

         2  2.749837E-05 -7.364650E-03 -1.893514E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9090317E+00

         2  2.757005E-05 -7.402547E-03 -1.905984E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9115345E+00

         2  2.767754E-05 -7.459621E-03 -1.924941E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9152887E+00

         2  2.783771E-05 -7.545739E-03 -1.953932E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9209201E+00

         2  2.807743E-05 -7.676068E-03 -1.998643E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9293671E+00

         2  2.843577E-05 -7.874143E-03 -2.068668E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9420377E+00

         2  2.896822E-05 -8.176932E-03 -2.180011E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9610435E+00

         2  2.975623E-05 -8.643493E-03 -2.353401E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9895522E+00

         2  3.090506E-05 -9.370385E-03 -2.605030E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1032315E+01

         2  3.254331E-05 -1.051941E-02 -2.954086E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1096460E+01

         2  3.477906E-05 -1.236817E-02 -3.498339E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1160604E+01

         2  3.675511E-05 -1.436140E-02 -4.122066E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1224749E+01

         2  3.842872E-05 -1.649437E-02 -4.801448E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1240785E+01

         2  3.882591E-05 -1.704915E-02 -4.975795E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1256821E+01

         2  3.920417E-05 -1.761270E-02 -5.150674E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1280876E+01

         2  3.971837E-05 -1.847467E-02 -5.413298E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1316957E+01

         2  4.038132E-05 -1.980541E-02 -5.818853E-05

