
 displacements (vx,vy,vz) for set TIPMARKER and time  0.1000000E+00

         2 -3.511585E-07 -9.669421E-06  1.180668E-10

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2000000E+00

         2 -4.163015E-07 -4.754794E-05 -2.985877E-08

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3500000E+00

         2  1.274500E-07 -2.032432E-04 -2.851585E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5000000E+00

         2  1.299417E-06 -5.202982E-04 -9.503635E-07

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6500000E+00

         2  3.087203E-06 -1.043161E-03 -2.154458E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8000000E+00

         2  5.467274E-06 -1.846476E-03 -4.044913E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9500000E+00

         2  8.419561E-06 -3.046094E-03 -6.922088E-06

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1100000E+01

         2  1.191319E-05 -4.746883E-03 -1.120438E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1250000E+01

         2  1.592015E-05 -7.003636E-03 -1.722000E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1400000E+01

         2  2.040045E-05 -9.848286E-03 -2.517867E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1550000E+01

         2  2.531855E-05 -1.332021E-02 -3.535775E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1700000E+01

         2  3.062911E-05 -1.744656E-02 -4.815992E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.1850000E+01

         2  3.629101E-05 -2.219680E-02 -6.396884E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2000000E+01

         2  4.225275E-05 -2.748019E-02 -8.301194E-05

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2150000E+01

         2  4.846707E-05 -3.319419E-02 -1.054276E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2300000E+01

         2  5.487908E-05 -3.924011E-02 -1.314284E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2450000E+01

         2  6.143922E-05 -4.549039E-02 -1.612248E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2600000E+01

         2  6.809017E-05 -5.177289E-02 -1.947857E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2750000E+01

         2  7.477883E-05 -5.790513E-02 -2.317803E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.2900000E+01

         2  8.144656E-05 -6.373914E-02 -2.717273E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3050000E+01

         2  8.804063E-05 -6.915563E-02 -3.140862E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3200000E+01

         2  9.450396E-05 -7.403290E-02 -3.580979E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3350000E+01

         2  1.007837E-04 -7.825907E-02 -4.026332E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3500000E+01

         2  1.068235E-04 -8.177570E-02 -4.463660E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3650000E+01

         2  1.125732E-04 -8.458989E-02 -4.880560E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3800000E+01

         2  1.179816E-04 -8.674096E-02 -5.265835E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.3950000E+01

         2  1.230028E-04 -8.827648E-02 -5.608121E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4100000E+01

         2  1.275896E-04 -8.927297E-02 -5.896455E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4250000E+01

         2  1.317016E-04 -8.985768E-02 -6.123188E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4400000E+01

         2  1.353001E-04 -9.017613E-02 -6.286016E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4625000E+01

         2  1.394587E-04 -9.040737E-02 -6.414949E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.4850000E+01

         2  1.422816E-04 -9.058753E-02 -6.416951E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5075000E+01

         2  1.437031E-04 -9.095590E-02 -6.320174E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5412500E+01

         2  1.425856E-04 -9.181269E-02 -6.087174E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.5918750E+01

         2  1.449420E-04 -9.178790E-02 -5.770301E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6425000E+01

         2  1.541957E-04 -8.699812E-02 -5.631522E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.6931250E+01

         2  1.692965E-04 -7.467548E-02 -5.533548E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7437500E+01

         2  1.886511E-04 -5.527847E-02 -5.091846E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.7943750E+01

         2  2.103252E-04 -3.271814E-02 -4.020620E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8450000E+01

         2  2.322723E-04 -1.185349E-02 -2.456500E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.8956250E+01

         2  2.525140E-04  3.829504E-03 -1.025043E-04

 displacements (vx,vy,vz) for set TIPMARKER and time  0.9462500E+01

         2  2.692364E-04  1.365206E-02 -4.774739E-05

