
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1  -0.4397677E+03   0.0000000E+00   0.0000000E+00   0.2097064E+02
      2   0.3240776E+01   0.1800216E+01   0.2865132E+00   0.0000000E+00
      3   0.3445310E+01   0.1856155E+01   0.2954162E+00   0.0000000E+00
      4   0.1307819E+03   0.1143599E+02   0.1820094E+01   0.0000000E+00
      5   0.1412488E+03   0.1188482E+02   0.1891527E+01   0.0000000E+00
      6   0.2007580E+03   0.1416891E+02   0.2255052E+01   0.0000000E+00
      7   0.8896261E+03   0.2982660E+02   0.4747051E+01   0.0000000E+00
      8   0.1309060E+04   0.3618093E+02   0.5758374E+01   0.0000000E+00
      9   0.2925513E+04   0.5408802E+02   0.8608375E+01   0.0000000E+00
     10   0.3780671E+04   0.6148716E+02   0.9785985E+01   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5544493E-02   0.2722268E-01  -0.3989464E-02  -0.3503836E-03   0.4609479E-02   0.9661929E-02
      2  -0.5371903E-05  -0.2985977E-02   0.6546717E+00  -0.9884411E-07  -0.3567037E+01  -0.1609535E-01
      3  -0.7137014E-06  -0.6549602E+00  -0.2949532E-02   0.1996108E-03   0.1604454E-01  -0.3567449E+01
      4   0.1776332E-04   0.2526781E+00  -0.2541150E+00   0.6893712E-04   0.4022441E+00   0.3950185E+00
      5   0.1025743E-03  -0.2691970E+00  -0.2126770E+00   0.5081145E-03   0.3575242E+00  -0.4138324E+00
      6   0.9843560E-02   0.4880509E-01  -0.3902490E-02   0.4457410E-03   0.6302119E-02   0.1306382E-01
      7   0.1072780E-03  -0.1882986E+00   0.9188403E-01   0.7766140E-03  -0.1033366E+00  -0.1641769E+00
      8   0.1587964E-03  -0.8768938E-01  -0.2153315E+00   0.3078120E-03   0.2322602E+00  -0.1005809E+00
      9   0.5469820E-03  -0.4113835E-01   0.5862840E-02   0.4935596E-02  -0.1771991E-01  -0.1578446E-01
     10  -0.5943766E-03  -0.1141444E+00   0.5525780E-01  -0.4260832E-02  -0.3439227E-01  -0.7176153E-01

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.3074140E-04   0.7410745E-03   0.1591582E-04   0.1227687E-06   0.2124730E-04   0.9335287E-04
      2   0.2885734E-10   0.8916062E-05   0.4285951E+00   0.9770159E-14   0.1272375E+02   0.2590603E-03
      3   0.5093697E-12   0.4289729E+00   0.8699741E-05   0.3984447E-07   0.2574271E-03   0.1272669E+02
      4   0.3155355E-09   0.6384621E-01   0.6457444E-01   0.4752327E-08   0.1618003E+00   0.1560396E+00
      5   0.1052148E-07   0.7246704E-01   0.4523151E-01   0.2581803E-06   0.1278235E+00   0.1712573E+00
      6   0.9689567E-04   0.2381937E-02   0.1522943E-04   0.1986851E-06   0.3971671E-04   0.1706634E-03
      7   0.1150857E-07   0.3545635E-01   0.8442675E-02   0.6031294E-06   0.1067846E-01   0.2695406E-01
      8   0.2521630E-07   0.7689427E-02   0.4636766E-01   0.9474820E-07   0.5394481E-01   0.1011653E-01
      9   0.2991894E-06   0.1692364E-02   0.3437290E-04   0.2436010E-04   0.3139951E-03   0.2491493E-03
     10   0.3532835E-06   0.1302894E-01   0.3053425E-02   0.1815469E-04   0.1182828E-02   0.5149717E-02
TOTAL     0.1283371E-03   0.6262852E+00   0.5963390E+00   0.4383690E-04   0.1307981E+02   0.1309698E+02

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.6989340E+00   0.6989340E+00   0.6989356E+00   0.6229293E-04   0.1310825E+02   0.1310825E+02

