
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.6420662E+02   0.8012903E+01   0.1275293E+01   0.0000000E+00
      2   0.7309173E+02   0.8549370E+01   0.1360675E+01   0.0000000E+00
      3   0.2534715E+04   0.5034595E+02   0.8012807E+01   0.0000000E+00
      4   0.2597445E+04   0.5096514E+02   0.8111353E+01   0.0000000E+00
      5   0.2009317E+05   0.1417504E+03   0.2256028E+02   0.0000000E+00
      6   0.2024401E+05   0.1422814E+03   0.2264479E+02   0.0000000E+00
      7   0.7849799E+05   0.2801749E+03   0.4459123E+02   0.0000000E+00
      8   0.7877979E+05   0.2806774E+03   0.4467119E+02   0.0000000E+00
      9   0.2195420E+06   0.4685531E+03   0.7457254E+02   0.0000000E+00
     10   0.2199981E+06   0.4690395E+03   0.7464996E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.2087635E-10  -0.2554123E-04   0.6694249E+00   0.5868971E-07  -0.3645657E+01  -0.1389163E-03
      2  -0.5638058E-06   0.6714388E+00   0.2551607E-04   0.2608809E-11  -0.1388748E-03   0.3648819E+01
      3   0.2302087E-11  -0.3459619E-06   0.3711853E+00   0.3596063E-06  -0.5810712E+00  -0.6748325E-06
      4   0.3323104E-05  -0.3678283E+00  -0.2673202E-06   0.1980780E-12   0.2058375E-06  -0.5609683E+00
      5   0.6572209E-10  -0.1433172E-05   0.2180732E+00   0.9904782E-06  -0.2070349E+00  -0.1393751E-05
      6   0.9140528E-05  -0.2173757E+00  -0.1410180E-05  -0.7106684E-11   0.1330499E-05  -0.2071067E+00
      7   0.2515908E-10  -0.3322308E-07  -0.1562161E+00  -0.1915389E-05   0.1052568E+00  -0.3041592E-07
      8   0.1849291E-04  -0.1556475E+00   0.2511009E-07   0.3199112E-12  -0.2115767E-07  -0.1046527E+00
      9   0.3246488E-10  -0.6183094E-08   0.1217473E+00   0.3136790E-05  -0.6334482E-01   0.7754113E-08
     10  -0.3547443E-04   0.1210215E+00   0.1119439E-07  -0.5589472E-13  -0.2069617E-07   0.6335834E-01

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4358222E-21   0.6523542E-09   0.4481297E+00   0.3444482E-14   0.1329081E+02   0.1929775E-07
      2   0.3178769E-12   0.4508301E+00   0.6510697E-09   0.6805883E-23   0.1928620E-07   0.1331388E+02
      3   0.5299604E-23   0.1196896E-12   0.1377785E+00   0.1293167E-12   0.3376437E+00   0.4553989E-12
      4   0.1104302E-10   0.1352976E+00   0.7146009E-13   0.3923490E-25   0.4236908E-13   0.3146854E+00
      5   0.4319394E-20   0.2053982E-11   0.4755590E-01   0.9810471E-12   0.4286345E-01   0.1942541E-11
      6   0.8354925E-10   0.4725218E-01   0.1988608E-11   0.5050496E-22   0.1770228E-11   0.4289319E-01
      7   0.6329792E-21   0.1103773E-14   0.2440347E-01   0.3668716E-11   0.1107899E-01   0.9251283E-15
      8   0.3419877E-09   0.2422614E-01   0.6305166E-15   0.1023432E-24   0.4476468E-15   0.1095219E-01
      9   0.1053969E-20   0.3823065E-16   0.1482241E-01   0.9839453E-11   0.4012566E-02   0.6012626E-16
     10   0.1258435E-08   0.1464619E-01   0.1253143E-15   0.3124219E-26   0.4283314E-15   0.4014279E-02
TOTAL     0.1695333E-08   0.6722522E+00   0.6726900E+00   0.1462198E-10   0.1368641E+02   0.1368642E+02

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.7120980E+00   0.7124631E+00   0.7208725E+00   0.6481511E-04   0.1369042E+02   0.1369042E+02

