
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.3268902E+01   0.1808011E+01   0.2877538E+00   0.0000000E+00
      2   0.3294609E+01   0.1815106E+01   0.2888831E+00   0.0000000E+00
      3   0.1320186E+03   0.1148993E+02   0.1828680E+01   0.0000000E+00
      4   0.1320550E+03   0.1149152E+02   0.1828932E+01   0.0000000E+00
      5   0.1035564E+04   0.3218018E+02   0.5121635E+01   0.0000000E+00
      6   0.1035574E+04   0.3218034E+02   0.5121660E+01   0.0000000E+00
      7   0.3975916E+04   0.6305487E+02   0.1003549E+02   0.0000000E+00
      8   0.3975999E+04   0.6305553E+02   0.1003560E+02   0.0000000E+00
      9   0.1086239E+05   0.1042228E+03   0.1658757E+02   0.0000000E+00
     10   0.1086289E+05   0.1042252E+03   0.1658795E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.5648681E-08  -0.6619017E+00   0.1023669E+00  -0.4996363E-09  -0.5578006E+00  -0.3606391E+01
      2  -0.8819138E-09   0.1023917E+00   0.6618869E+00  -0.5398934E-08  -0.3606370E+01   0.5578400E+00
      3   0.2940097E-07  -0.3707404E+00   0.1845173E-01   0.1246677E-08  -0.2903283E-01  -0.5815260E+00
      4   0.1440334E-08  -0.1840759E-01  -0.3707638E+00  -0.2623796E-07   0.5816830E+00  -0.2879238E-01
      5   0.6496388E-07  -0.2114724E+00  -0.5164559E-01  -0.5371232E-07   0.4935056E-01  -0.2020180E+00
      6  -0.1586134E-07   0.5164399E-01  -0.2114558E+00  -0.2195652E-06   0.2020177E+00   0.4932483E-01
      7  -0.1871788E-08   0.2967601E-02  -0.1556434E+00  -0.7558972E-06   0.1060976E+00   0.2023118E-02
      8   0.9980451E-07  -0.1556722E+00  -0.2966341E-02  -0.1448271E-07   0.2021898E-02  -0.1061082E+00
      9   0.1527120E-09  -0.1111484E-03  -0.1211389E+00  -0.1795516E-05   0.6420337E-01  -0.5738735E-04
     10  -0.1138468E-06   0.1211764E+00  -0.1119173E-03  -0.1805751E-08   0.6083696E-04   0.6419916E-01

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.3190759E-16   0.4381138E+00   0.1047898E-01   0.2496365E-18   0.3111415E+00   0.1300605E+02
      2   0.7777720E-18   0.1048407E-01   0.4380943E+00   0.2914849E-16   0.1300590E+02   0.3111855E+00
      3   0.8644172E-15   0.1374484E+00   0.3404663E-03   0.1554203E-17   0.8429052E-03   0.3381725E+00
      4   0.2074563E-17   0.3388394E-03   0.1374658E+00   0.6884307E-15   0.3383551E+00   0.8290010E-03
      5   0.4220306E-14   0.4472056E-01   0.2667267E-02   0.2885013E-14   0.2435478E-02   0.4081128E-01
      6   0.2515823E-15   0.2667102E-02   0.4471356E-01   0.4820890E-13   0.4081116E-01   0.2432939E-02
      7   0.3503589E-17   0.8806656E-05   0.2422488E-01   0.5713806E-12   0.1125669E-01   0.4093006E-05
      8   0.9960941E-14   0.2423383E-01   0.8799177E-05   0.2097490E-15   0.4088070E-05   0.1125895E-01
      9   0.2332094E-19   0.1235396E-07   0.1467464E-01   0.3223878E-11   0.4122073E-02   0.3293308E-08
     10   0.1296109E-13   0.1468373E-01   0.1252548E-07   0.3260738E-17   0.3701135E-08   0.4121532E-02
TOTAL     0.2829663E-13   0.6726992E+00   0.6726687E+00   0.3847285E-11   0.1371487E+02   0.1371487E+02

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.7263563E+00   0.7269063E+00   0.7294705E+00   0.6615919E-04   0.1371928E+02   0.1371928E+02

